# ----------------------------------------
# All Web Site Data
# Location
# 20181106-20181112
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages/Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Czechia,186,100.00%,186,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Egypt,186,100.00%,186,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bangladesh,179,100.00%,179,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Belarus,159,100.00%,159,100.00%,1.00,00:00:00,0.00%,0,US$0.00
New Zealand,158,100.00%,158,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Morocco,156,100.00%,156,99.36%,1.01,<00:00:01,0.00%,0,US$0.00
Croatia,153,100.00%,153,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kazakhstan,136,100.00%,136,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Slovakia,136,100.00%,136,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Hungary,134,100.00%,134,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Serbia,132,100.00%,132,100.00%,1.00,00:00:00,0.00%,0,US$0.00
(not set),115,100.00%,115,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ecuador,110,100.00%,110,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Slovenia,108,100.00%,108,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Lebanon,107,100.00%,107,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Tunisia,94,100.00%,94,100.00%,1.00,00:00:00,0.00%,0,US$0.00
United Arab Emirates,86,100.00%,86,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Costa Rica,86,100.00%,86,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kuwait,85,100.00%,85,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Jordan,81,100.00%,81,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Nigeria,80,100.00%,80,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bulgaria,75,100.00%,75,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Macedonia (FYROM),71,100.00%,71,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Armenia,63,100.00%,63,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kenya,59,100.00%,59,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bosnia & Herzegovina,56,100.00%,56,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Sri Lanka,56,100.00%,56,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Latvia,55,100.00%,55,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Georgia,54,100.00%,54,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Estonia,40,100.00%,40,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Luxembourg,40,100.00%,40,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Macau,38,100.00%,38,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Lithuania,37,100.00%,37,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Nepal,36,100.00%,36,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Azerbaijan,35,100.00%,35,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Trinidad & Tobago,35,100.00%,35,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Algeria,33,100.00%,33,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Cyprus,30,100.00%,30,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Malta,27,100.00%,27,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Venezuela,24,100.00%,24,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bolivia,23,100.00%,23,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Puerto Rico,23,100.00%,23,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ethiopia,20,100.00%,20,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Uruguay,19,100.00%,19,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Zimbabwe,19,100.00%,19,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Iraq,18,100.00%,18,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Iran,18,100.00%,18,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Myanmar (Burma),18,100.00%,18,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Dominican Republic,16,100.00%,16,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Ghana,15,100.00%,15,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Jamaica,15,100.00%,15,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Guatemala,14,100.00%,14,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Oman,13,100.00%,13,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Palestine,12,100.00%,12,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bhutan,11,100.00%,11,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kyrgyzstan,9,100.00%,9,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Rwanda,9,100.00%,9,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Curaçao,8,100.00%,8,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Honduras,8,100.00%,8,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Moldova,8,100.00%,8,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Uzbekistan,8,100.00%,8,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Albania,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Côte d’Ivoire,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Iceland,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,US$0.00
El Salvador,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Cambodia,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Montenegro,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Tanzania,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Mozambique,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Paraguay,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Senegal,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Uganda,5,100.00%,5,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Afghanistan,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Angola,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Libya,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Mauritius,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Qatar,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Réunion,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Åland Islands,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Benin,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Botswana,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Cameroon,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Guadeloupe,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Kosovo,3,100.00%,3,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bahrain,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Brunei,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Dominica,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
New Caledonia,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Nicaragua,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Panama,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Yemen,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Barbados,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Bermuda,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Belize,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Congo - Kinshasa,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Cape Verde,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
French Guiana,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Guernsey,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Liberia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Malawi,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Svalbard & Jan Mayen,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Tajikistan,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
Zambia,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,US$0.00
,"76,539",100.00%,"76,539",99.99%,1.00,<00:00:01,0.00%,0,US$0.00
